"PVWatts: Hourly PV Performance Data"
"Requested Location:","new york"
"Location:","Lat, Lng: 40.73, -74.02"
"Lat (deg N):","40.73"
"Lng (deg W):","74.02"
"Elev (m):","0"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","25","21","0","0","20","2","0","20","0","0"
"7","25","22","0","0","20","2","0","20","0","0"
"7","25","23","0","0","20","2","0","20","0","0"
"7","26","0","0","0","19","2","0","19","0","0"
"7","26","1","0","0","19","2","0","19","0","0"
"7","26","2","0","0","19","2","0","19","0","0"
"7","26","3","0","0","19","3","0","19","0","0"
"7","26","4","0","0","19","3","0","19","0","0"
"7","26","5","0","31","20","3","29.172","19.099","103.038","80.728"
"7","26","6","177","113","22","3","145.775","24.038","465.589","435.8"
"7","26","7","521","146","24","4","380.339","31.21","1210.505","1161.516"
"7","26","8","321","268","26","4","478.481","35.776","1547.945","1488.561"
"7","26","9","658","202","27","4","755.196","42.754","2371.666","2282.462"
"7","26","10","300","406","27","4","701.805","42.174","2216.7","2133.588"
"7","26","11","345","395","28","5","757.608","42.688","2387.254","2297.425"
"7","26","12","23","344","28","5","357.497","35.084","1170.414","1122.59"
"7","26","13","156","423","28","5","578.261","38.704","1859.102","1789.196"
"7","26","14","4","172","28","5","168.047","31.122","560.884","528.927"
"7","26","15","279","284","27","5","471.636","35.33","1531.692","1472.833"
"7","26","16","232","204","26","5","308.37","31.637","1002.402","959.297"
"7","26","17","0","80","25","5","75.687","25.818","259.121","233.741"
"7","26","18","0","23","24","4","21.796","23.289","75.512","53.72"
"7","26","19","0","0","23","4","0","23","0","0"
"7","26","20","0","0","23","4","0","23","0","0"
"7","26","21","0","0","22","4","0","22","0","0"
"7","26","22","0","0","22","4","0","22","0","0"
"7","26","23","0","0","22","4","0","22","0","0"
"7","27","0","0","0","22","4","0","22","0","0"
"7","27","1","0","0","21","3","0","21","0","0"
"7","27","2","0","0","21","3","0","21","0","0"
"7","27","3","0","0","21","3","0","21","0","0"
"7","27","4","0","0","21","3","0","21","0","0"
"7","27","5","9","36","21","2","33.232","20.092","116.848","94.275"
"7","27","6","0","39","22","2","36.983","21.339","129.289","106.479"
"7","27","7","109","201","23","2","243.56","27.956","812.965","774.865"
"7","27","8","24","238","24","2","243.853","29.649","818.742","780.494"
"7","27","9","195","368","25","3","529.784","36.611","1719.183","1654.119"
"7","27","10","190","433","25","3","619.085","39.328","1984.016","1909.632"
"7","27","11","204","454","26","3","669.561","41.666","2120.874","2041.417"
"7","27","12","381","395","26","3","794.756","44.592","2479.873","2386.283"
"7","27","13","479","307","26","3","779.271","44.53","2431.589","2339.97"
"7","27","14","437","295","27","3","671.353","43.059","2107.198","2028.256"
"7","27","15","590","186","27","3","588.172","40.935","1848.303","1778.777"
"7","27","16","478","164","26","3","386.742","35.137","1216.339","1167.18"
"7","27","17","313","122","25","3","190.592","29.059","578.884","546.508"
"7","27","18","101","49","24","3","42.854","24.026","144.559","121.454"
"7","27","19","0","0","23","3","0","23","0","0"
"7","27","20","0","0","23","3","0","23","0","0"
"7","27","21","0","0","22","3","0","22","0","0"
"7","27","22","0","0","22","3","0","22","0","0"
"7","27","23","0","0","22","3","0","22","0","0"
"7","28","0","0","0","21","3","0","21","0","0"
"7","28","1","0","0","21","2","0","21","0","0"
"7","28","2","0","0","20","2","0","20","0","0"
"7","28","3","0","0","20","2","0","20","0","0"
"7","28","4","0","0","20","2","0","20","0","0"
"7","28","5","160","39","21","1","30.187","19.74","106.313","83.941"
"7","28","6","439","90","23","1","183.099","26.936","531.124","499.853"
"7","28","7","375","175","26","0","339.816","38.728","1051.693","1007.231"
"7","28","8","711","132","28","0","603.463","50.528","1797.839","1730.075"
"7","28","9","771","141","29","0","782.884","58.388","2260.563","2175.749"
"7","28","10","304","385","30","0","684.368","57.342","1993.966","1919.219"
"7","28","11","390","396","31","0","803.91","61.281","2291.706","2205.674"
"7","28","12","823","150","32","1","989.189","62.002","2808.356","2700.785"
"7","28","13","291","411","32","1","701.418","55.023","2070.021","1992.47"
"7","28","14","45","330","31","2","363.44","41.203","1153.5","1106.163"
"7","28","15","695","141","31","2","612.593","46.461","1868.011","1797.789"
"7","28","16","595","126","30","2","405.717","41.009","1229.4","1179.857"
"7","28","17","444","95","29","2","197.281","34.015","560.979","529.02"
"7","28","18","200","44","27","2","36.488","27.036","118.532","95.928"
"7","28","19","0","0","25","2","0","25","0","0"
"7","28","20","0","0","24","3","0","24","0","0"
"7","28","21","0","0","24","3","0","24","0","0"
"7","28","22","0","0","23","3","0","23","0","0"
"7","28","23","0","0","23","3","0","23","0","0"
"7","29","0","0","0","22","2","0","22","0","0"
"7","29","1","0","0","22","2","0","22","0","0"
"7","29","2","0","0","22","2","0","22","0","0"
"7","29","3","0","0","21","2","0","21","0","0"
"7","29","4","0","0","21","2","0","21","0","0"
"7","29","5","206","35","23","2","27.007","21.985","94.131","71.99"
"7","29","6","477","81","25","1","183.885","28.995","520.538","489.51"
"7","29","7","385","167","28","0","338.89","40.699","1037.125","993.065"
"7","29","8","340","260","30","0","482.863","48.597","1462.217","1405.575"
"7","29","9","519","265","31","0","702.793","57.261","2043.808","1967.229"
"7","29","10","432","348","31","1","773.416","54.964","2282.953","2197.264"
"7","29","11","537","306","32","1","866.247","58.659","2506.085","2411.417"
"7","29","12","356","391","32","2","766.039","52.594","2291.246","2205.231"
"7","29","13","515","329","32","2","835.724","53.997","2479.971","2386.377"
"7","29","14","399","320","32","3","658.88","47.837","2017.543","1941.932"
"7","29","15","348","265","31","3","498.475","42.855","1556.584","1496.92"
"7","29","16","486","160","30","4","385.848","38.073","1194.612","1146.087"
"7","29","17","326","115","29","4","186.544","32.606","552.776","521.007"
"7","29","18","115","42","27","4","35.558","26.898","121.114","98.461"
"7","29","19","0","0","25","4","0","25","0","0"
"7","29","20","0","0","24","4","0","24","0","0"
"7","29","21","0","0","24","3","0","24","0","0"
"7","29","22","0","0","24","3","0","24","0","0"
"7","29","23","0","0","23","3","0","23","0","0"
"7","30","0","0","0","23","4","0","23","0","0"
"7","30","1","0","0","23","4","0","23","0","0"
"7","30","2","0","0","23","4","0","23","0","0"
"7","30","3","0","0","23","4","0","23","0","0"
"7","30","4","0","0","23","4","0","23","0","0"
"7","30","5","53","35","24","4","30.348","23.318","105.123","82.774"
"7","30","6","318","110","25","4","173.615","27.531","522.655","491.578"
"7","30","7","0","95","26","4","90.308","27.037","307.398","281.023"
"7","30","8","13","214","26","4","213.51","29.535","717.593","681.886"
"7","30","9","68","345","27","4","396.961","34.724","1301.136","1249.46"
"7","30","10","114","420","28","4","535.401","39.01","1718.672","1653.626"
"7","30","11","3","151","29","5","147.863","31.682","492.214","461.828"
"7","30","12","13","262","29","5","266.432","33.361","879.689","839.863"
"7","30","13","158","430","28","6","588.167","37.69","1900.576","1829.199"
"7","30","14","0","142","27","6","135.751","29.157","457.433","427.826"
"7","30","15","0","48","26","6","45.615","25.959","156.062","132.735"
"7","30","16","131","206","25","5","260.809","29.004","865.332","825.881"
"7","30","17","0","79","25","5","74.733","25.721","255.971","230.655"
"7","30","18","0","21","24","4","19.899","23.245","68.951","47.282"
"7","30","19","0","0","24","4","0","24","0","0"
"7","30","20","0","0","23","4","0","23","0","0"
"7","30","21","0","0","23","3","0","23","0","0"
"7","30","22","0","0","22","2","0","22","0","0"
"7","30","23","0","0","22","2","0","22","0","0"
"7","31","0","0","0","21","2","0","21","0","0"
"7","31","1","0","0","20","3","0","20","0","0"
